drug_id,old_selling_price
520765,569.39
520910,563.06
520949,62.0
521209,131.75
521261,100.1
521523,67.5
521561,149.6
521602,115.54
521665,159.19
521699,42.75
521723,339.15
521726,192.75
521762,66.0
521854,88.2
521927,175.31
522054,315.0
522165,482.11
522260,38.92
522321,42.72
522340,20.0
522396,86.11
522520,158.4
522556,110.05
522557,94.74
522708,54.89
522936,188.79
522996,108.12
523281,106.06
523298,61.72
523642,241.0
523678,15.25
524345,1.88
524438,273.7
524444,95.54
524462,167.35
524541,26.84
524602,78.89
530581,74.51
532373,114.75
540067,124.0
553624,74.78
556484,332.3
557262,496.12
587724,69.03
589654,631.8
621025,124.31
625188,144.07
628283,1320.0
631879,233.75
648109,33.84
653564,86.06
656786,130.9
658029,153.63
658030,86.99
707403,97.93
753556,239.05
754201,92.81
754249,238.5
754448,50.63
754479,83.67
754529,49.0
754587,158.57
754690,132.35
754765,111.26
754778,345.0
266505,42.59
267087,112.2
276255,146.71
278245,136.0
278431,123.85
278519,365.5
284631,443.06
288243,304.73
288507,43.88
288771,591.68
293871,74.11
295159,40.48
297631,339.57
298153,78.63
298415,120.37
303347,87.66
308615,185.67
312455,96.0
315579,101.2
318257,215.26
318281,136.0
320025,110.36
326001,4.22
327619,78.01
327741,41.43
341235,96.86
341325,271.01
341427,145.44
343647,88.21
344045,64.03
349197,134.1
350395,100.13
356633,97.2
357591,56.25
361641,121.92
363851,661.8
373937,208.4
375851,126.65
376465,88.45
385033,151.0
385121,36.0
385161,72.99
385229,86.68
385539,73.0
394209,113.9
394953,124.69
396257,502.03
396961,71.72
397275,90.25
398517,215.6
398835,112.1
398951,13.12
399079,80.56
399099,106.8
399167,113.0
399183,109.39
399253,141.93
399349,25.94
399635,25.0
399735,134.77
399753,322.15
399793,236.14
399939,1428.32
400327,169.2
400679,683.1
400683,796.37
401167,182.89
401491,261.07
401515,102.85
401791,170.85
401830,2.32
402062,375.25
402254,333.1
402358,135.47
402597,183.6
403350,377.03
403575,489.25
404007,136.14
404022,109.65
404094,199.34
404154,44.72
404313,66.3
404793,108.41
404835,63.53
404940,64.0
405162,200.01
406041,150.29
406122,123.12
406653,150.45
406661,3.3
406881,214.84
407095,106.62
407218,74.89
407527,46.5
407976,92.95
408066,531.9
408628,159.38
408660,234.85
409189,155.25
409806,102.11
410109,166.22
411211,407.92
411330,29.52
411606,73.15
411816,91.2
412030,116.96
412360,266.95
412452,78.0
412479,153.0
412615,1124.1
412634,205.96
412797,41.0
412889,1.0
413468,163.79
413525,111.56
413807,56.0
413828,175.31
414016,48.99
414709,38.0
414740,112.1
415007,124.44
415577,959.65
415624,48.21
416552,212.5
416554,90.0
416579,207.27
416639,94.5
416966,224.83
417205,96.42
417342,157.25
417442,280.25
417549,44.0
417579,146.7
418078,82.76
418135,70.13
418581,627.94
418821,259.79
419388,514.25
420156,144.5
420175,293.25
421219,75.66
421264,182.11
421366,980.1
421923,124.53
422086,129.06
422355,93.0
422455,93.24
423024,465.22
423085,140.25
423177,346.88
423402,9.5
424116,73.5
424424,57.96
424553,120.26
424568,286.88
424602,310.79
424802,179.3
