sale_date,store_name,pilot,direction,gain_rev,gain_rgm
2026-07-01,Malad Liberty Garden,0,increased,1010.23,1031.9423753204744
2026-07-01,Malwani,0,decreased,132.53,146.78442263099186
2026-07-01,Malwani,0,flat,-145.96999999999974,-134.8443634046576
2026-07-01,Malwani,0,increased,1907.28,1871.1371177725377
2026-07-01,Marol,0,decreased,112.41,118.80873027429965
2026-07-01,Marol,0,flat,-411.78,-665.7440119869306
2026-07-01,Marol,0,increased,2458.16,2434.615902164239
2026-07-01,Mharal Ulhasnagar,0,decreased,38.0,33.59809159940856
2026-07-01,Mharal Ulhasnagar,0,flat,173.05,-147.5899353943212
2026-07-01,Mharal Ulhasnagar,0,increased,1314.4,1219.6091500778812
2026-07-01,Mhasrul Nashik,0,decreased,-72.84000000000003,-79.49453388278386
2026-07-01,Mhasrul Nashik,0,flat,-32.490000000000016,-88.65505381880209
2026-07-01,Mhasrul Nashik,0,increased,456.4300000000001,390.64213312346305
2026-07-01,Mira Road,0,decreased,99.04999999999998,70.15192299228028
2026-07-01,Mira Road,0,flat,-186.77999999999986,-176.40946639315806
2026-07-01,Mira Road,0,increased,1829.83,1901.5201556616846
2026-07-01,Mira Road - GCC Club Road,0,decreased,-7.110000000000014,-25.502803466009144
2026-07-01,Mira Road - GCC Club Road,0,flat,-188.65999999999997,-153.3079360291218
2026-07-01,Mira Road - GCC Club Road,0,increased,340.40000000000003,276.78954174836485
2026-07-01,Mira Road Jangid Complex,0,decreased,9.0,13.242593481237094
2026-07-01,Mira Road Jangid Complex,0,flat,387.60999999999996,519.0180461134868
2026-07-01,Mira Road Jangid Complex,0,increased,902.4499999999999,757.9421253631115
2026-07-01,Mohan Nagar Kandivali,0,decreased,60.0,65.44438358348148
2026-07-01,Mohan Nagar Kandivali,0,flat,-30.86000000000004,22.39152977309799
2026-07-01,Mohan Nagar Kandivali,0,increased,1110.6299999999999,1100.7250630429594
2026-07-01,Mulund East,0,decreased,61.80000000000001,81.49652365992452
2026-07-01,Mulund East,0,flat,-10.090000000000089,-99.04168029056315
2026-07-01,Mulund East,0,increased,3952.16,3812.478737441746
2026-07-01,Mulund Panch Rasta,0,decreased,32.460000000000036,36.4803450269007
2026-07-01,Mulund Panch Rasta,0,flat,15.20999999999993,81.92664082840231
2026-07-01,Mulund Panch Rasta,0,increased,1473.4600000000003,1440.3318554792784
2026-07-01,Mulund West,0,decreased,195.64999999999998,240.83428675453604
2026-07-01,Mulund West,0,flat,-34.59000000000002,-1.2019907479756817
2026-07-01,Mulund West,0,increased,2531.52,2588.793913648887
2026-07-01,Mulund West-Sarvodaya Nagar,0,decreased,35.99,39.72453244183429
2026-07-01,Mulund West-Sarvodaya Nagar,0,flat,-79.60999999999999,-71.66131542728913
2026-07-01,Mulund West-Sarvodaya Nagar,0,increased,2996.2200000000003,2950.29484259697
2026-07-01,Mundhwa Pune,0,decreased,21.82999999999998,21.310317290010353
2026-07-01,Mundhwa Pune,0,flat,-64.33999999999996,-63.42467836737905
2026-07-01,Mundhwa Pune,0,increased,666.5500000000001,655.5658822979491
2026-07-01,NIBM Kondwa,0,decreased,62.66999999999996,48.8324704619148
2026-07-01,NIBM Kondwa,0,flat,-212.97000000000014,-362.88315683096624
2026-07-01,NIBM Kondwa,0,increased,1411.6000000000001,1373.6072101690495
2026-07-01,Nahur West,0,decreased,65.56,66.74156217398692
2026-07-01,Nahur West,0,flat,-101.12000000000005,-74.73304828616507
2026-07-01,Nahur West,0,increased,1233.26,1400.4249273450484
2026-07-01,Nalasopara - Yashwant Nagar,0,decreased,43.0,43.08955871550245
2026-07-01,Nalasopara - Yashwant Nagar,0,flat,-213.96999999999994,-163.83722772781041
2026-07-01,Nalasopara - Yashwant Nagar,0,increased,514.12,527.9202366961409
2026-07-01,Nalasopara West,0,decreased,58.28,67.02432880278266
2026-07-01,Nalasopara West,0,flat,45.1399999999999,-11.065231313482759
2026-07-01,Nalasopara West,0,increased,1380.09,1334.965220375467
2026-07-01,Narhe Pune,0,decreased,32.989999999999995,171.0218291806192
2026-07-01,Narhe Pune,0,flat,-156.66000000000003,-63.04774849036032
2026-07-01,Narhe Pune,0,increased,1155.4,1043.3419699873782
2026-07-01,Naupada,0,decreased,99.03,73.8277372704908
2026-07-01,Naupada,0,flat,-218.13000000000008,-237.58732027234706
2026-07-01,Naupada,0,increased,2226.51,2266.081408018098
2026-07-01,Navare Nagar Ambernath,0,decreased,-160.17999999999998,-107.57849330901284
2026-07-01,Navare Nagar Ambernath,0,flat,-200.4399999999999,-291.30244115352093
2026-07-01,Navare Nagar Ambernath,0,increased,1014.64,1045.6511764182223
2026-07-01,Navi Peth Pune,0,decreased,53.5,57.04769446410395
2026-07-01,Navi Peth Pune,0,flat,-81.08000000000011,-166.5379267913409
2026-07-01,Navi Peth Pune,0,increased,1186.01,1103.243066737388
2026-07-01,Navjeevan Mumbai Central,0,decreased,153.0,160.75206147999273
2026-07-01,Navjeevan Mumbai Central,0,flat,-116.91999999999999,-192.59882550565644
2026-07-01,Navjeevan Mumbai Central,0,increased,1634.48,1683.0386092169012
2026-07-01,Nerul East,0,decreased,-2.5499999999999936,-7.929494767104206
2026-07-01,Nerul East,0,flat,-205.8800000000001,-46.65097546382593
2026-07-01,Nerul East,0,increased,925.54,912.9263511659167
2026-07-01,Nerul West,0,decreased,87.0,94.52902280536688
2026-07-01,Nerul West,0,flat,1165.27,276.5797918529371
2026-07-01,Nerul West,0,increased,1766.5,1760.5292079579663
2026-07-01,New Panvel,0,decreased,150.72000000000003,138.86104663511733
2026-07-01,New Panvel,0,flat,-0.7900000000000968,-95.26947577769265
2026-07-01,New Panvel,0,increased,2183.77,2043.483759744768
2026-07-01,Old Panvel,0,decreased,53.22000000000001,53.26286427343392
2026-07-01,Old Panvel,0,flat,-214.48999999999975,-131.7261248309129
2026-07-01,Old Panvel,0,increased,1091.17,1060.6334359504135
2026-07-01,Palegaon Ambernath,0,decreased,-6.629999999999981,1.1479346875198146
