window,store_name,pilot,revenue,cogs
post,Kalamboli,0,1323368.65,843001.3769
post,Kalher Bhiwandi,0,2040783.73,1310334.4359
post,Kalina,0,1481290.28,929091.0985
post,Kalwa,0,3203017.09,1874647.3211
post,Kalyan,0,1433738.09,906664.8873
post,Kalyan - DB Chowk,0,1062950.95,709680.4516
post,Kalyan East-Tisgaon Naka,0,1493156.58,959274.0922
post,Kalyan West Club Road,0,1229310.35,743237.4084
post,Kamotha,0,3005102.57,1955134.4956
post,Kamothe - Sector 36,0,1363430.74,926942.0208
post,Kandivali East,0,1597435.79,934412.0817
post,Kandivali West,0,720483.11,431263.4083
post,Kasarvadavali Thane,0,1475649.45,893908.8049
post,Katrap Badlapur East,0,764441.98,484673.3868
post,Khadki Pune,0,1369293.24,933982.0502
post,Khanda Colony,1,1467723.92,937758.4378
post,Khar West,1,1441180.66,875107.6425
post,Kharghar,0,2576752.23,1470209.9595
post,Kharghar Sector 12,0,1475615.66,882473.6841
post,Khopat,0,2140459.19,1241719.3273
post,Khutwad Nagar Nashik,0,449576.81,322374.271
post,Kolsheth,0,3186330.12,1748999.1055
post,Kopar Khairane,0,2659226.64,1610908.3445
post,Kopari Thane,0,1357544.62,972319.4964
post,Koper Khairane - Sector 7,0,1510176.09,944721.3518
post,Kulgaon Badlapur West,0,1488835.6,905072.0716
post,Kurla,0,1220352.12,676447.7274
post,Kurla West,0,1966194.87,1157248.5717
post,Lower Parel - SJ Marg,0,976985.18,617938.8818
post,Mahakali,0,2901649.55,1847035.8447
post,Mahavir Pride Dombivali,0,1835707.4,1166784.2086
post,Mahim West,0,1471472.93,868565.8603000001
post,Malad,0,2055860.22,1168698.348
post,Malad Liberty Garden,0,1312627.84,749664.055
post,Malwani,0,1397012.22,862727.1630000001
post,Marol,0,2503686.16,1491950.4272
post,Mharal Ulhasnagar,0,1652481.91,1074399.4803
post,Mhasrul Nashik,0,1218998.6,866384.674
post,Mira Road,0,1273670.85,788186.0273
post,Mira Road - GCC Club Road,0,642380.99,462323.7544
post,Mira Road Jangid Complex,0,1473819.05,896352.3454
post,Mohan Nagar Kandivali,0,1053710.65,613800.8393
post,Mulund East,0,3514731.82,1990714.1417
post,Mulund Panch Rasta,0,1081094.99,619481.4178
post,Mulund West,0,2261991.49,1196436.4024
post,Mulund West-Sarvodaya Nagar,0,2223795.94,1377468.8631
post,Mundhwa Pune,0,771498.02,513824.531
post,NIBM Kondwa,0,1906188.24,1138074.7634
post,Nahur West,0,1804540.07,1116686.9535
post,Nalasopara - Yashwant Nagar,0,940991.34,626219.3204
post,Nalasopara West,0,1024335.88,647739.2021
post,Narhe Pune,0,855369.92,565394.4132
post,Naupada,0,2322497.67,1413021.058
post,Navare Nagar Ambernath,0,1103124.37,717987.4447
post,Navi Peth Pune,0,1347910.59,900634.993
post,Navjeevan Mumbai Central,0,1660037.5,957867.7787
post,Nerul East,0,1757093.4,1025864.0845
post,Nerul West,0,1614661.62,947783.2095
post,New Panvel,0,2029007.06,1292995.8449
post,Old Panvel,0,1758788.04,1139743.2163
post,Palegaon Ambernath,0,753219.89,479120.677
post,Panchpakhadi,0,1784000.83,1146082.9129
post,Pantnagar,0,1089628.61,658596.3359
post,Panvel - Uran Naka,0,1099713.0,674905.0201
post,Phadke Road - Dombivali,0,1348234.42,816417.0847
post,Pimple Gurav,0,940401.69,572306.0233
post,Prabhadevi,0,1805233.44,984550.9766
post,Pragati Nagar Nalasopara East,0,1080163.78,732939.7748
post,Rajawadi,0,1442740.19,796183.0985
post,Roadpali Kalamboli,0,984739.94,624032.4517
post,Rupee Nagar Pune,0,558597.4,368891.1021
post,Saibaba Nagar,0,1214397.22,689999.7381
post,Sakinaka - Pipeline Road,0,936122.88,621004.4258
post,Sanpada,1,2604495.63,1591535.9556
post,Santa Cruz SV Road,0,1499200.25,944170.9954
post,"Santoshi Mata Road, Kalyan West",0,1634150.12,1098297.2633
post,Sasane Nagar Pune,1,799572.88,523492.1057
post,Seawoods,0,2126032.85,1260542.9154
post,Sector 3 - New Panvel,0,1648898.06,1142300.4613
post,Shanti Nagar Mira Road,0,773884.16,449293.87
post,Shirgaon Badlapur,0,1391840.94,944308.9563
post,Shivaji Nagar Pune,0,1459480.86,940907.0449
post,Shreenagar,0,3121774.72,1927324.082
post,Shriprastha Nalasopara West,0,831664.01,545802.1345
post,Sion Koliwada,0,1737322.14,1081174.3749
