window,store_name,pilot,segment,units
pre,Panchpakhadi,0,Ethical,4110
pre,Panchpakhadi,0,GA,5913
pre,Panchpakhadi,0,NGA,1503
pre,Panchpakhadi,0,Other,3427
pre,Pantnagar,0,Ethical,2530
pre,Pantnagar,0,GA,5002
pre,Pantnagar,0,NGA,1472
pre,Pantnagar,0,Other,2234
pre,Panvel - Uran Naka,0,Ethical,2198
pre,Panvel - Uran Naka,0,GA,4163
pre,Panvel - Uran Naka,0,NGA,841
pre,Panvel - Uran Naka,0,Other,2550
pre,Phadke Road - Dombivali,0,Ethical,3181
pre,Phadke Road - Dombivali,0,GA,6527
pre,Phadke Road - Dombivali,0,NGA,1354
pre,Phadke Road - Dombivali,0,Other,2147
pre,Pimple Gurav,0,Ethical,2035
pre,Pimple Gurav,0,GA,3999
pre,Pimple Gurav,0,NGA,793
pre,Pimple Gurav,0,Other,1720
pre,Prabhadevi,0,Ethical,3010
pre,Prabhadevi,0,GA,11024
pre,Prabhadevi,0,NGA,1381
pre,Prabhadevi,0,Other,3570
pre,Pragati Nagar Nalasopara East,0,Ethical,2064
pre,Pragati Nagar Nalasopara East,0,GA,2838
pre,Pragati Nagar Nalasopara East,0,NGA,606
pre,Pragati Nagar Nalasopara East,0,Other,2324
pre,Rajawadi,0,Ethical,2802
pre,Rajawadi,0,GA,9829
pre,Rajawadi,0,NGA,2381
pre,Rajawadi,0,Other,3030
pre,Roadpali Kalamboli,0,Ethical,1959
pre,Roadpali Kalamboli,0,GA,3792
pre,Roadpali Kalamboli,0,NGA,1105
pre,Roadpali Kalamboli,0,Other,2536
pre,Rupee Nagar Pune,0,Ethical,1140
pre,Rupee Nagar Pune,0,GA,1864
pre,Rupee Nagar Pune,0,NGA,434
pre,Rupee Nagar Pune,0,Other,2106
pre,Saibaba Nagar,0,Ethical,2571
pre,Saibaba Nagar,0,GA,6365
pre,Saibaba Nagar,0,NGA,1741
pre,Saibaba Nagar,0,Other,1407
pre,Sakinaka - Pipeline Road,0,Ethical,2004
pre,Sakinaka - Pipeline Road,0,GA,2897
pre,Sakinaka - Pipeline Road,0,NGA,675
pre,Sakinaka - Pipeline Road,0,Other,2361
pre,Sanpada,1,Ethical,6784
pre,Sanpada,1,GA,12032
pre,Sanpada,1,NGA,2773
pre,Sanpada,1,Other,4145
pre,Santa Cruz SV Road,0,Ethical,3735
pre,Santa Cruz SV Road,0,GA,5976
pre,Santa Cruz SV Road,0,NGA,1499
pre,Santa Cruz SV Road,0,Other,3053
pre,"Santoshi Mata Road, Kalyan West",0,Ethical,3889
pre,"Santoshi Mata Road, Kalyan West",0,GA,5232
pre,"Santoshi Mata Road, Kalyan West",0,NGA,1335
pre,"Santoshi Mata Road, Kalyan West",0,Other,2145
pre,Sasane Nagar Pune,1,Ethical,2459
pre,Sasane Nagar Pune,1,GA,3244
pre,Sasane Nagar Pune,1,NGA,740
pre,Sasane Nagar Pune,1,Other,1268
pre,Seawoods,0,Ethical,4582
pre,Seawoods,0,GA,10526
pre,Seawoods,0,NGA,2204
pre,Seawoods,0,Other,3405
pre,Sector 3 - New Panvel,0,Ethical,4118
pre,Sector 3 - New Panvel,0,GA,4966
pre,Sector 3 - New Panvel,0,NGA,1183
pre,Sector 3 - New Panvel,0,Other,2877
pre,Shanti Nagar Mira Road,0,Ethical,1099
pre,Shanti Nagar Mira Road,0,GA,3290
pre,Shanti Nagar Mira Road,0,NGA,577
pre,Shanti Nagar Mira Road,0,Other,2555
pre,Shirgaon Badlapur,0,Ethical,2178
pre,Shirgaon Badlapur,0,GA,3601
pre,Shirgaon Badlapur,0,NGA,687
pre,Shirgaon Badlapur,0,Other,3463
pre,Shivaji Nagar Pune,0,Ethical,3949
pre,Shivaji Nagar Pune,0,GA,6368
pre,Shivaji Nagar Pune,0,NGA,1146
pre,Shivaji Nagar Pune,0,Other,2392
pre,Shreenagar,0,Ethical,7693
pre,Shreenagar,0,GA,13715
pre,Shreenagar,0,NGA,2665
pre,Shreenagar,0,Other,5343
pre,Shriprastha Nalasopara West,0,Ethical,2079
pre,Shriprastha Nalasopara West,0,GA,2600
pre,Shriprastha Nalasopara West,0,NGA,747
pre,Shriprastha Nalasopara West,0,Other,1768
pre,Sion Koliwada,0,Ethical,3918
pre,Sion Koliwada,0,GA,7860
pre,Sion Koliwada,0,NGA,1666
pre,Sion Koliwada,0,Other,3444
pre,Thakur Complex,0,Ethical,5049
pre,Thakur Complex,0,GA,10385
pre,Thakur Complex,0,NGA,2696
pre,Thakur Complex,0,Other,2875
pre,Thergaon,0,Ethical,1798
pre,Thergaon,0,GA,4021
pre,Thergaon,0,NGA,820
pre,Thergaon,0,Other,2003
